userID,snackID,prediction,Snack_Name
8,7,5.65479,Cracker nuts
8,475,5.9986865,Doughnut
8,408,5.868995899,Gulha
8,989,5.88899999,Bonda
8,8997,5.085067899,Cracker nuts
8,8,4.9998405,Doughnut
8,89,4.876099,Gulha
8,9904,4.86749989,Grass jelly
8,9980,4.85689958,Cokodok
8,499899,4.887785,Pancakes
99,89900,80.09900997,Fudge
99,748,8.458884,Cookie
99,690,8.899859988,Cracker nuts
99,85,8.899899758,Fudge
99,899998,8.99995887,Waffle
99,750,8.080505,Bitterballen
99,9,8.00089999,Gulha
99,899998,7.8899909,Doughnut
99,899099,7.889959999,Cookie
99,89989,7.597899879,Bitterballen
899,899997,9.899958899,Grass jelly
899,9968,9.889898,Cokodok
899,89989999,8.808955,Panforte
899,748,8.78896,Grass jelly
899,9986,8.69999,Cracker nuts
899,8998899,8.6045685,Cokodok
899,6899,8.48489958,Doughnut
899,9978,8.899508998,Panforte
899,879,8.999970899,Fudge
899,678,8.99088998,Cracker nuts
4,899099,8.047899875,Cokodok
4,899899899,7.899889965,Bonda
4,9988,7.899774899,Bonda
4,89907,7.999998997,Cracker nuts
4,89947,7.008658,Candy
4,8998899,6.979999505,Doughnut
4,9968,6.94889958,Cracker nuts
4,8998998,6.99989997,Cracker nuts
4,748,6.784785899,Cracker nuts
4,85,6.758998998,Cracker nuts
5,559,6.899899,Doughnut
5,9987,6.88998448,Gulha
5,444,6.074768999,Bonda
5,9989,5.90996947,Cracker nuts
5,588,5.8064985,Doughnut
5,78,5.7489599,Gulha
5,899,5.60589977,Grass jelly
5,6995,5.596849,Cokodok
5,448,5.5789997,Pancakes
5,946,5.5099957,Fudge
6,8997,8.8899908,Cookie
6,888,8.58999779,Cracker nuts
6,800,7.566066,Fudge
6,89957,7.44959996,Waffle
6,874,7.48998999,Bitterballen
6,60899,7.899898858,Gulha
6,9986,7.899854865,Doughnut
6,84,7.899999784,Cookie
6,705,7.99909684,Bitterballen
6,8799,7.878899799,Grass jelly
7,98,6.788995899,Cokodok
7,874,6.99669958,Panforte
7,889999,5.99968999,Grass jelly
7,895,5.59904606,Cracker nuts
7,9988,5.407409,Cokodok
7,880,5.89998,Doughnut
7,499899,5.89957854,Panforte
7,8799,5.899565998,Fudge
7,48994,5.89985857,Cracker nuts
7,498,5.89909566,Cokodok
8,89900,8.899489977,Bonda
8,9978,8.06898899,Bonda
8,748,7.988998896,Cracker nuts
8,9980,7.59899784,Candy
8,868,7.44489979,Doughnut
8,758,7.89946999,Cracker nuts
8,879,7.899898999,Cracker nuts
8,678,7.8990899,Cracker nuts
8,699,7.89905959,Bonda
8,9965,7.995789999,Bonda
9,9988,6.9965769,Cracker nuts
9,800,6.88869,Candy
9,8997,5.989989999,Doughnut
9,9976,5.85878999,Cracker nuts
9,89989,5.8855694,Cracker nuts
9,50,5.79099884,Cracker nuts
9,60899,5.769899999,Doughnut
9,98,5.599078995,Gulha
9,998994,5.460689,Bonda
9,56,5.89954949,Cracker nuts
80,584,8.089999609,Doughnut
80,4997,7.48990679,Gulha
80,89988,7.998998608,Bonda
80,474,7.859988991,Bonda
80,9904,6.948489959,Cracker nuts
80,9986,6.908990899,Candy
80,88994,6.808885,Doughnut
80,874,6.7880645,Cracker nuts
80,88899,6.7755904,Grass jelly
80,887,6.759458,Gulha
88,9986,6.89976088,Cracker nuts
88,9980,6.05999999,Candy
88,655,5.79699785,Doughnut
88,88,5.74469899,Cracker nuts
88,9988,5.64899058,Cracker nuts
88,99099,5.5907995,Cracker nuts
88,800,5.589994779,Doughnut
88,89988,5.47748,Gulha
88,998998,5.489876,Bonda
88,89988,5.8996785,Cracker nuts
899,9986,8.9958646,Doughnut
899,50,8.88495899,Gulha
